year,marital,age,race,rincome,partyid,relig,tvhours
2000,Married,64,White,$5000 to 5999,Strong republican,Protestant,NA
2000,Married,59,White,$25000 or more,Strong democrat,Protestant,NA
2000,Married,46,White,Not applicable,Not str republican,Protestant,3
2000,Married,26,Other,$10000 - 14999,Not str democrat,None,2
2000,Divorced,39,Black,Don't know,Independent,None,NA
2000,Divorced,51,White,$20000 - 24999,Independent,Protestant,2
2000,Divorced,45,White,$25000 or more,"Ind,near rep",Protestant,2
2000,Never married,23,White,$1000 to 2999,Strong democrat,Protestant,0
2000,Never married,21,White,Don't know,Not str republican,Protestant,NA
2000,Married,26,White,$10000 - 14999,Not str republican,Protestant,2
2000,Married,31,Other,$25000 or more,Not str republican,Christian,NA
2000,Never married,27,Black,$25000 or more,Strong democrat,Protestant,4
2000,Divorced,78,White,Not applicable,"Ind,near dem",Protestant,4
2000,Never married,29,White,$10000 - 14999,Independent,None,NA
2000,Widowed,43,Black,Not applicable,Independent,None,3
2000,Divorced,61,White,$25000 or more,Strong republican,Catholic,NA
2000,Married,33,White,Not applicable,Strong democrat,Protestant,2
2000,Never married,34,Black,$15000 - 19999,Strong democrat,Protestant,NA
2000,Never married,89,White,Not applicable,Independent,Protestant,2
2000,Widowed,83,Black,Not applicable,Strong democrat,Protestant,12
2000,Widowed,78,Black,Not applicable,Strong democrat,Other,4
2000,Widowed,89,Black,Not applicable,Independent,Protestant,8
2000,Widowed,84,Black,Not applicable,Strong democrat,Protestant,NA
2000,Widowed,69,Black,Not applicable,Not str democrat,Protestant,4
2000,Never married,32,Black,$10000 - 14999,"Ind,near dem",Protestant,5
2000,Widowed,76,Black,Not applicable,Strong democrat,Protestant,NA
2000,Never married,41,Black,Not applicable,Strong democrat,Protestant,5
2000,Married,32,Black,$25000 or more,Strong democrat,Catholic,2
2000,Never married,29,Black,$25000 or more,Not str republican,Protestant,4
2000,Married,40,Black,$25000 or more,Strong democrat,Protestant,1
2000,Married,44,White,$3000 to 3999,Not str republican,Protestant,NA
2000,Widowed,70,Black,Not applicable,Strong democrat,Catholic,2
2000,Married,40,Black,Refused,"Ind,near dem",Protestant,3
2000,Married,51,Black,$3000 to 3999,Strong democrat,Protestant,NA
2000,Divorced,75,White,Not applicable,Strong democrat,Protestant,7
2000,Never married,22,Black,$20000 - 24999,Independent,Protestant,3
2000,Separated,53,Black,$25000 or more,Strong democrat,Protestant,1
2000,Never married,20,White,$10000 - 14999,"Ind,near dem",Catholic,2
2000,Widowed,80,White,Not applicable,Not str democrat,Catholic,8
2000,Widowed,70,White,Refused,Not str republican,Catholic,NA
2000,Married,45,White,$25000 or more,Independent,Catholic,1
2000,Divorced,46,White,$25000 or more,Not str democrat,Inter-nondenominational,2
2000,Never married,24,White,$15000 - 19999,"Ind,near dem",Catholic,3
2000,Never married,51,White,$20000 - 24999,Not str republican,Catholic,NA
2000,Never married,32,White,$25000 or more,Not str republican,Catholic,0
2000,Married,53,White,Refused,Independent,Catholic,4
2000,Married,52,White,Lt $1000,"Ind,near dem",None,NA
2000,Widowed,83,White,Not applicable,Not str republican,None,NA
2000,Divorced,39,White,Refused,Independent,None,0
2000,Married,47,White,Refused,Not str democrat,Protestant,2
2000,Married,45,White,$25000 or more,Not str republican,Catholic,NA
2000,Married,48,White,Not applicable,Independent,None,2
2000,Married,50,Other,$25000 or more,Not str democrat,Hinduism,NA
2000,Widowed,78,White,Not applicable,Not str democrat,Protestant,NA
2000,Married,45,White,Not applicable,Strong republican,Jewish,NA
2000,Divorced,56,White,Refused,Not str democrat,Jewish,3
2000,Divorced,47,White,$25000 or more,Strong democrat,Jewish,1
2000,Married,72,White,$25000 or more,Strong democrat,Jewish,4
2000,Never married,29,Other,$10000 - 14999,"Ind,near dem",Protestant,3
2000,Married,26,White,$20000 - 24999,"Ind,near rep",None,NA
2000,Married,52,Black,Refused,Strong democrat,None,2
2000,Separated,39,Other,Refused,Not str democrat,Native american,1
2000,Married,30,Other,$25000 or more,Not str democrat,None,1
2000,Never married,48,Black,$25000 or more,Independent,None,2
2000,Divorced,62,Black,$25000 or more,Strong democrat,Protestant,NA
2000,Divorced,57,White,$25000 or more,"Ind,near rep",Other,3
2000,Separated,60,White,Not applicable,Independent,Catholic,3
2000,Married,47,White,$10000 - 14999,"Ind,near rep",Catholic,5
2000,Widowed,55,White,Not applicable,Not str republican,Protestant,NA
2000,Separated,43,White,Not applicable,Not str democrat,Catholic,1
2000,Divorced,31,White,Not applicable,Not str democrat,Catholic,NA
2000,Married,44,White,Not applicable,Not str democrat,Catholic,NA
2000,Divorced,40,White,No answer,"Ind,near rep",Protestant,NA
2000,Never married,25,White,Not applicable,Independent,Catholic,4
2000,Divorced,37,White,$20000 - 24999,Independent,Catholic,3
2000,Divorced,56,White,Refused,Independent,Protestant,2
2000,Married,28,White,Refused,Independent,Catholic,8
2000,Never married,36,Black,Not applicable,Strong democrat,Protestant,12
2000,Never married,35,Black,Not applicable,Strong democrat,Protestant,NA
2000,Never married,23,White,$3000 to 3999,"Ind,near dem",Protestant,NA
2000,Married,30,White,$10000 - 14999,"Ind,near dem",Christian,NA
2000,Married,32,White,$8000 to 9999,"Ind,near dem",None,1
2000,Divorced,50,Black,$10000 - 14999,"Ind,near dem",Inter-nondenominational,2
2000,Widowed,38,Black,$8000 to 9999,"Ind,near dem",Protestant,NA
2000,Never married,31,White,$20000 - 24999,"Ind,near rep",Christian,1
2000,Widowed,82,Black,Not applicable,Strong democrat,Protestant,4
2000,Divorced,73,White,Not applicable,Not str democrat,Catholic,3
2000,Separated,57,Black,Not applicable,"Ind,near dem",None,0
2000,Widowed,60,Black,Not applicable,Strong democrat,Catholic,NA
2000,Never married,76,White,Not applicable,Not str republican,Protestant,12
2000,Widowed,70,Black,Not applicable,Not str democrat,Protestant,5
2000,Widowed,87,Black,Don't know,Strong democrat,Protestant,10
2000,Widowed,70,White,Not applicable,Not str democrat,Catholic,NA
2000,Widowed,78,White,Not applicable,Not str republican,Protestant,0
2000,Never married,32,Black,$15000 - 19999,Strong democrat,None,NA
2000,Never married,58,Black,$1000 to 2999,Not str democrat,Protestant,NA
2000,Never married,29,Black,$8000 to 9999,"Ind,near rep",None,2
2000,Never married,39,Black,$25000 or more,Strong democrat,Protestant,NA
2000,Never married,44,Black,Not applicable,Not str democrat,Protestant,3
2000,Never married,40,Other,$25000 or more,Independent,None,1
2000,Never married,36,Other,Not applicable,Strong democrat,Catholic,5
2000,Married,52,White,Refused,Not str republican,Catholic,1
2000,Married,41,White,$20000 - 24999,Strong republican,Protestant,NA
2000,Separated,48,Black,$25000 or more,Not str democrat,Protestant,3
2000,Never married,33,White,$20000 - 24999,Independent,None,4
2000,Widowed,65,White,Not applicable,Strong democrat,Catholic,NA
2000,Widowed,41,White,$25000 or more,"Ind,near dem",Catholic,NA
2000,Married,58,White,$25000 or more,Not str republican,Protestant,2
2000,Married,48,White,$25000 or more,"Ind,near dem",Catholic,1
2000,Married,63,Black,Not applicable,Strong democrat,Protestant,6
2000,Married,43,White,$15000 - 19999,Independent,Protestant,NA
2000,Married,62,White,$10000 - 14999,"Ind,near dem",Protestant,NA
2000,Never married,48,White,$25000 or more,Independent,Catholic,NA
2000,Married,49,White,No answer,"Ind,near dem",None,2
2000,Divorced,48,White,$25000 or more,Independent,Protestant,4
2000,Never married,19,White,$1000 to 2999,Not str republican,Catholic,NA
2000,Married,70,White,Not applicable,Not str democrat,Catholic,NA
2000,Married,42,White,$25000 or more,Not str republican,Protestant,2
2000,Married,36,White,Refused,Not str democrat,Catholic,1
2000,Never married,30,White,$25000 or more,Independent,None,2
2000,Never married,32,White,$20000 - 24999,Not str republican,Protestant,2
2000,Married,36,White,$25000 or more,Strong republican,Protestant,5
2000,Married,38,White,Not applicable,Strong republican,Protestant,15
2000,Married,58,White,$25000 or more,"Ind,near rep",Protestant,NA
2000,Married,47,White,Not applicable,Other party,Catholic,1
2000,Married,55,White,$25000 or more,Not str democrat,Catholic,NA
2000,Married,72,White,Not applicable,Strong republican,Protestant,2
2000,Married,31,White,Refused,Strong republican,Catholic,2
2000,Married,45,White,Refused,Strong republican,Jewish,NA
2000,Married,45,Other,Refused,Independent,None,0
2000,Widowed,85,White,Not applicable,"Ind,near rep",Protestant,2
2000,Widowed,48,Black,$25000 or more,Not str republican,Catholic,1
2000,Married,50,White,No answer,No answer,No answer,2
2000,Married,50,White,$25000 or more,Not str democrat,Jewish,2
2000,Married,51,White,$25000 or more,Strong democrat,Jewish,2
2000,Divorced,48,White,$25000 or more,Strong democrat,Protestant,NA
2000,Married,45,Black,Not applicable,Not str democrat,Protestant,NA
2000,Married,39,White,Lt $1000,Not str democrat,Jewish,NA
2000,Never married,38,White,$25000 or more,Not str democrat,Protestant,1
2000,Never married,40,White,$25000 or more,Strong democrat,Jewish,NA
2000,Never married,33,White,$8000 to 9999,Not str democrat,None,1
2000,Divorced,56,White,$25000 or more,Not str democrat,Catholic,NA
2000,Never married,67,White,$25000 or more,Strong democrat,Protestant,1
2000,Never married,43,Black,$25000 or more,Strong democrat,None,3
2000,Married,56,White,Refused,Not str democrat,None,1
2000,Never married,48,Black,Not applicable,Strong democrat,Protestant,NA
2000,Separated,32,Other,Not applicable,Strong republican,Protestant,4
2000,Never married,23,Black,Not applicable,"Ind,near rep",Protestant,8
2000,Never married,28,Black,Not applicable,Not str republican,Catholic,6
2000,Divorced,48,Black,$10000 - 14999,Strong democrat,Protestant,4
2000,Widowed,77,Black,$3000 to 3999,Strong democrat,Catholic,2
2000,Separated,38,Black,Not applicable,"Ind,near dem",Protestant,10
2000,Married,40,White,$10000 - 14999,Not str republican,Catholic,NA
2000,Married,39,White,$3000 to 3999,"Ind,near rep",Protestant,2
2000,Separated,30,White,$25000 or more,Strong democrat,None,1
2000,Divorced,45,White,$25000 or more,Independent,Inter-nondenominational,NA
2000,Divorced,52,White,$8000 to 9999,"Ind,near dem",None,2
2000,Never married,53,White,$25000 or more,Not str democrat,Protestant,3
2000,Married,53,White,$10000 - 14999,Not str republican,Protestant,1
2000,Married,39,White,$25000 or more,Not str democrat,Protestant,NA
2000,Married,78,White,Not applicable,Not str republican,Protestant,5
2000,Married,41,White,$25000 or more,Not str democrat,None,5
2000,Married,30,White,Not applicable,Strong republican,Protestant,11
2000,Never married,20,White,$1000 to 2999,Independent,Catholic,NA
2000,Never married,26,White,$8000 to 9999,"Ind,near dem",Catholic,NA
2000,Never married,21,White,$25000 or more,"Ind,near dem",Catholic,5
2000,Married,31,White,Lt $1000,Not str democrat,None,2
2000,Married,32,Other,$25000 or more,Not str republican,Catholic,2
2000,Separated,45,White,$25000 or more,Strong democrat,Protestant,1
2000,Married,28,White,$25000 or more,Not str democrat,Catholic,NA
2000,Never married,21,White,$20000 - 24999,Not str democrat,Catholic,3
2000,Married,36,White,$25000 or more,"Ind,near dem",None,NA
2000,Never married,35,White,$15000 - 19999,Other party,None,2
2000,Divorced,38,White,$25000 or more,"Ind,near dem",Inter-nondenominational,NA
2000,Never married,NA,White,Refused,Strong democrat,Catholic,2
2000,Never married,28,White,$25000 or more,Other party,Protestant,0
2000,Never married,62,White,$8000 to 9999,"Ind,near dem",Catholic,NA
2000,Married,53,White,$25000 or more,Not str republican,Protestant,NA
2000,Married,27,Other,$25000 or more,Not str democrat,None,NA
2000,Never married,45,White,Not applicable,"Ind,near dem",Catholic,6
2000,Married,46,White,$25000 or more,Not str democrat,Catholic,4
2000,Widowed,82,White,Not applicable,Strong democrat,Protestant,4
2000,Married,56,White,$25000 or more,"Ind,near dem",Protestant,5
2000,Never married,42,White,$3000 to 3999,"Ind,near dem",Catholic,NA
2000,Divorced,66,White,Not applicable,Independent,Protestant,8
2000,Married,36,Other,$25000 or more,Strong republican,Christian,1
2000,Separated,49,White,$25000 or more,Strong democrat,Other,1
2000,Married,72,White,$25000 or more,Strong democrat,None,2
2000,Married,53,White,Not applicable,Independent,Protestant,2
2000,Married,42,White,Not applicable,Not str republican,Protestant,NA
2000,Widowed,79,White,Not applicable,Strong republican,Protestant,1
2000,Married,50,White,Not applicable,Strong republican,Catholic,1
2000,Widowed,50,Other,Not applicable,Not str democrat,Protestant,4
2000,Married,32,White,$25000 or more,Not str republican,Catholic,NA
2000,Never married,20,Other,$3000 to 3999,Strong democrat,None,NA
2000,Married,51,White,$25000 or more,"Ind,near dem",Protestant,4
2000,Married,35,Other,$6000 to 6999,Not str democrat,Buddhism,11
2000,Married,54,Other,$15000 - 19999,Not str democrat,Catholic,1
2000,Widowed,65,White,$6000 to 6999,Strong democrat,Catholic,0
2000,Married,36,White,Not applicable,"Ind,near rep",Catholic,4
2000,Married,48,White,$25000 or more,Strong democrat,Jewish,NA
2000,Married,54,White,Not applicable,Strong republican,Protestant,3
2000,Divorced,62,White,Not applicable,Strong democrat,Protestant,3
2000,Never married,51,White,$25000 or more,"Ind,near rep",None,4
2000,Married,38,White,$4000 to 4999,Not str republican,None,NA
2000,Married,85,White,Not applicable,Not str republican,None,2
2000,Divorced,67,White,Not applicable,Strong republican,Protestant,1
2000,Married,48,White,$10000 - 14999,Strong republican,Protestant,1
2000,Never married,29,White,$25000 or more,Independent,Catholic,NA
2000,Separated,64,White,$25000 or more,"Ind,near dem",Protestant,1
2000,Divorced,26,White,$25000 or more,Independent,Protestant,NA
2000,Widowed,72,White,Not applicable,Not str democrat,Protestant,3
2000,Married,58,White,$25000 or more,Strong republican,Catholic,NA
2000,Separated,45,White,Not applicable,Not str democrat,None,8
2000,Widowed,49,White,Refused,Independent,Catholic,NA
2000,Married,47,White,$25000 or more,Independent,Catholic,3
2000,Never married,19,White,No answer,"Ind,near rep",Catholic,NA
2000,Never married,37,White,Not applicable,Not str democrat,Catholic,1
2000,Married,24,Black,Not applicable,Other party,Protestant,6
2000,Married,43,Black,$25000 or more,Other party,Protestant,4
2000,Never married,29,White,$25000 or more,Independent,Protestant,2
2000,Never married,26,Other,$10000 - 14999,Not str democrat,None,2
2000,Never married,24,White,$25000 or more,Independent,None,2
2000,Divorced,38,Black,$15000 - 19999,"Ind,near dem",None,5
2000,Widowed,60,Black,Don't know,Strong democrat,Protestant,4
2000,Separated,48,Black,Not applicable,Strong democrat,Protestant,NA
2000,Divorced,61,Black,Not applicable,Strong democrat,Protestant,3
2000,Widowed,59,Black,Not applicable,Strong democrat,Protestant,6
2000,Never married,59,Black,Not applicable,Strong democrat,Protestant,NA
2000,Never married,31,Black,Not applicable,Not str republican,Protestant,6
2000,Never married,34,Black,$5000 to 5999,"Ind,near dem",Protestant,1
2000,Married,NA,Black,Refused,Independent,Protestant,1
2000,Married,32,Black,$10000 - 14999,Independent,Catholic,4
2000,Never married,18,Black,Not applicable,"Ind,near rep",Catholic,NA
2000,Never married,32,Black,$15000 - 19999,Strong democrat,Protestant,NA
2000,Never married,42,Black,Refused,Independent,Protestant,6
2000,Divorced,38,Black,Refused,"Ind,near dem",Protestant,NA
2000,Never married,25,Black,$7000 to 7999,Not str democrat,Protestant,NA
2000,Divorced,54,Black,$8000 to 9999,Not str democrat,Protestant,6
2000,Married,47,Black,Lt $1000,Not str democrat,Protestant,10
2000,Never married,31,Black,$25000 or more,Strong democrat,Protestant,1
2000,Separated,40,Black,Refused,Independent,Catholic,3
2000,Separated,60,Black,$15000 - 19999,Strong democrat,Protestant,8
2000,Never married,34,White,Not applicable,Not str republican,Protestant,NA
2000,Married,36,White,$25000 or more,Strong republican,Protestant,NA
2000,Never married,43,Black,Not applicable,Strong democrat,None,2
2000,Divorced,28,Black,$15000 - 19999,Strong democrat,Protestant,NA
2000,Never married,34,Black,$10000 - 14999,Not str democrat,None,0
2000,Never married,44,Black,$15000 - 19999,Strong democrat,Protestant,5
2000,Never married,22,Black,No answer,Strong democrat,None,NA
2000,Never married,24,Black,Not applicable,"Ind,near rep",Catholic,7
2000,Divorced,31,Black,$3000 to 3999,Independent,None,3
2000,Divorced,45,White,$25000 or more,Not str democrat,Catholic,3
2000,Married,71,White,Not applicable,Not str republican,Protestant,1
2000,Married,65,White,Not applicable,"Ind,near rep",Catholic,2
2000,Married,40,White,Not applicable,Not str democrat,Protestant,NA
2000,Married,59,White,$25000 or more,Other party,None,1
2000,Married,38,White,$15000 - 19999,Not str republican,Catholic,1
2000,Divorced,73,White,$25000 or more,"Ind,near dem",Protestant,NA
2000,Married,31,White,$25000 or more,Not str republican,Catholic,1
2000,Married,44,White,$6000 to 6999,"Ind,near rep",Protestant,NA
2000,Married,34,White,$25000 or more,"Ind,near dem",Protestant,3
2000,Never married,26,White,$25000 or more,"Ind,near dem",Protestant,0
2000,Married,38,Black,$25000 or more,Not str democrat,Protestant,2
2000,Never married,29,White,$25000 or more,"Ind,near dem",None,3
2000,Never married,36,Other,$25000 or more,"Ind,near dem",Moslem/islam,1
2000,Married,32,White,$25000 or more,Strong democrat,None,NA
2000,Married,26,White,$5000 to 5999,"Ind,near dem",Protestant,3
2000,Married,47,White,$25000 or more,Independent,Orthodox-christian,1
2000,Divorced,37,White,$25000 or more,Not str democrat,Catholic,NA
2000,Never married,29,White,$25000 or more,Strong democrat,Jewish,NA
2000,Never married,37,Other,$25000 or more,"Ind,near rep",Buddhism,NA
2000,Married,35,White,Refused,Strong republican,Protestant,0
2000,Married,68,White,Not applicable,Strong republican,Protestant,3
2000,Married,26,White,$25000 or more,Independent,Protestant,1
2000,Never married,84,White,Not applicable,"Ind,near rep",Catholic,NA
2000,Never married,23,Other,$20000 - 24999,Not str republican,Catholic,2
2000,Never married,22,White,$15000 - 19999,Strong democrat,Protestant,6
2000,Married,42,White,$25000 or more,Strong republican,Catholic,NA
2000,Widowed,53,White,$25000 or more,Independent,Protestant,1
2000,Married,43,White,$25000 or more,Independent,Catholic,3
2000,Married,49,White,$25000 or more,Not str democrat,Protestant,NA
2000,Widowed,74,White,Not applicable,Not str democrat,Catholic,1
2000,Married,47,White,$6000 to 6999,Strong republican,Protestant,1
2000,Married,37,White,$25000 or more,Independent,Catholic,2
2000,Married,42,White,$25000 or more,"Ind,near rep",None,2
2000,Never married,18,White,Not applicable,Not str democrat,None,NA
2000,Never married,22,White,$10000 - 14999,Independent,Other,12
2000,Married,51,White,$25000 or more,Other party,None,NA
2000,Married,30,White,$25000 or more,"Ind,near rep",Protestant,NA
2000,Married,59,White,$25000 or more,Independent,None,1
2000,Married,52,White,$20000 - 24999,Independent,Protestant,NA
2000,Married,58,White,$3000 to 3999,Independent,None,8
2000,Never married,40,White,$25000 or more,Independent,Jewish,2
2000,Married,63,White,Refused,Strong republican,Protestant,2
2000,Married,56,White,Refused,"Ind,near rep",Protestant,NA
2000,Never married,25,White,$6000 to 6999,"Ind,near rep",Catholic,0
2000,Never married,28,Black,$25000 or more,Not str democrat,Protestant,NA
2000,Widowed,67,White,No answer,Strong republican,Catholic,8
2000,Married,37,White,Not applicable,"Ind,near rep",Catholic,3
2000,Married,72,Other,Not applicable,"Ind,near dem",Protestant,NA
2000,Married,54,White,$10000 - 14999,"Ind,near rep",Catholic,4
2000,Never married,19,White,Don't know,Independent,Protestant,7
2000,Married,44,Other,$25000 or more,Not str democrat,Catholic,8
2000,Married,42,White,$25000 or more,Not str republican,Protestant,2
2000,Never married,19,White,$3000 to 3999,Independent,Catholic,NA
2000,Married,43,White,$25000 or more,Not str republican,Protestant,NA
2000,Divorced,59,White,$25000 or more,Independent,Protestant,1
2000,Married,52,White,$25000 or more,Independent,Protestant,2
2000,Married,40,White,$25000 or more,"Ind,near dem",Orthodox-christian,NA
2000,Separated,51,White,Not applicable,Not str democrat,None,12
2000,Never married,50,White,$25000 or more,Not str democrat,Jewish,NA
2000,Never married,45,White,Refused,"Ind,near rep",Catholic,NA
2000,Married,36,White,$25000 or more,Strong democrat,Jewish,1
2000,Married,45,White,$25000 or more,Independent,Protestant,2
2000,Divorced,71,White,$25000 or more,Not str democrat,Jewish,NA
2000,Married,58,Black,$25000 or more,Not str democrat,Protestant,4
2000,Married,31,White,$25000 or more,Not str republican,Christian,NA
2000,Never married,25,White,$25000 or more,Independent,None,2
2000,Never married,34,Other,$15000 - 19999,Not str democrat,Catholic,2
2000,Never married,48,White,$25000 or more,Independent,None,3
2000,Never married,26,White,$20000 - 24999,"Ind,near dem",Catholic,NA
2000,Divorced,35,White,$25000 or more,Other party,None,1
2000,Married,42,White,$25000 or more,Strong democrat,Christian,3
2000,Married,52,Black,$20000 - 24999,Independent,None,1
2000,Divorced,27,White,$25000 or more,Other party,None,2
2000,Never married,44,White,Not applicable,Strong democrat,None,NA
2000,Never married,38,Black,$25000 or more,Strong democrat,Protestant,1
2000,Married,75,Other,Not applicable,"Ind,near dem",Catholic,4
2000,Never married,42,Other,$25000 or more,"Ind,near rep",Catholic,NA
2000,Widowed,89,White,Not applicable,Not str republican,Protestant,3
2000,Married,52,White,$25000 or more,Not str republican,Protestant,2
2000,Married,74,White,Not applicable,Not str democrat,None,NA
2000,Divorced,61,White,Not applicable,Strong republican,None,NA
2000,Married,76,White,Not applicable,Strong republican,Protestant,5
2000,Married,50,Other,$25000 or more,Not str democrat,Protestant,1
2000,Separated,44,White,$25000 or more,Not str democrat,Catholic,NA
2000,Married,38,White,$25000 or more,Independent,Orthodox-christian,NA
2000,Married,53,Other,$25000 or more,Not str republican,Catholic,NA
2000,Married,71,White,Refused,Not str democrat,Jewish,NA
2000,Widowed,73,White,Not applicable,Independent,Catholic,NA
2000,Divorced,43,White,Not applicable,Independent,Jewish,1
2000,Married,36,White,$25000 or more,"Ind,near rep",Catholic,NA
2000,Married,40,White,Not applicable,Strong democrat,Jewish,2
2000,Married,42,White,Refused,Not str republican,None,4
2000,Divorced,68,White,$20000 - 24999,Not str republican,Protestant,NA
2000,Married,45,White,$25000 or more,Strong democrat,None,12
2000,Divorced,34,White,$25000 or more,Independent,None,NA
2000,Never married,26,White,$8000 to 9999,Not str democrat,Protestant,5
2000,Married,49,White,$25000 or more,Independent,None,2
2000,Married,59,White,$15000 - 19999,Independent,Protestant,NA
2000,Never married,45,White,Not applicable,Not str democrat,Jewish,NA
2000,Separated,77,White,Not applicable,Independent,None,NA
2000,Separated,56,Black,Not applicable,Not str democrat,Protestant,NA
2000,Never married,48,Black,Not applicable,"Ind,near dem",None,1
2000,Divorced,57,White,Not applicable,Independent,Protestant,12
2000,Married,37,Other,$25000 or more,Not str republican,None,NA
2000,Married,35,Other,$1000 to 2999,Not str democrat,Catholic,3
2000,Married,42,Other,$25000 or more,Not str republican,Protestant,NA
2000,Married,46,White,$20000 - 24999,Strong republican,Protestant,2
2000,Married,53,White,$25000 or more,Not str democrat,Catholic,2
2000,Never married,28,White,$25000 or more,Strong republican,Protestant,1
2000,Married,54,White,$25000 or more,Not str democrat,Catholic,NA
2000,Married,38,White,$20000 - 24999,"Ind,near dem",Catholic,0
2000,Married,32,White,$1000 to 2999,Not str democrat,Catholic,2
2000,Married,53,White,$25000 or more,Not str republican,Protestant,1
2000,Never married,20,White,$5000 to 5999,"Ind,near dem",Jewish,NA
2000,Married,40,White,Not applicable,Strong republican,Protestant,NA
2000,Married,46,White,$25000 or more,Not str democrat,Jewish,NA
2000,Married,41,White,$25000 or more,"Ind,near rep",Protestant,2
2000,Married,29,White,Not applicable,Not str republican,Catholic,NA
2000,Divorced,53,White,$25000 or more,Not str democrat,Protestant,1
2000,Divorced,73,White,$6000 to 6999,Independent,None,2
2000,Married,58,White,Not applicable,Strong democrat,Catholic,3
2000,Married,58,White,Don't know,Not str democrat,Protestant,3
2000,Married,52,White,Not applicable,Not str republican,Protestant,1
2000,Married,35,White,$25000 or more,"Ind,near dem",Catholic,1
2000,Never married,37,Black,$25000 or more,Strong democrat,None,NA
2000,Married,41,Other,$20000 - 24999,Not str democrat,Catholic,NA
2000,Never married,38,White,$25000 or more,Strong democrat,Jewish,3
2000,Married,34,White,$25000 or more,Independent,Other,2
2000,Never married,39,Other,$25000 or more,Not str democrat,Catholic,NA
2000,Divorced,56,White,$25000 or more,Not str republican,Protestant,NA
2000,Divorced,52,White,$20000 - 24999,Independent,Protestant,6
2000,Divorced,36,White,$25000 or more,"Ind,near rep",Christian,4
2000,Never married,20,Other,Don't know,Independent,None,4
2000,Married,28,White,$25000 or more,Strong republican,Catholic,NA
2000,Separated,38,Other,Not applicable,Strong democrat,Catholic,3
2000,Divorced,79,White,Not applicable,Not str democrat,Protestant,NA
2000,Widowed,84,White,Not applicable,Strong democrat,Catholic,11
2000,Divorced,61,White,$25000 or more,Not str republican,Protestant,NA
2000,Divorced,47,White,$25000 or more,"Ind,near dem",Catholic,2
